id,title,overview,tagline,genres,keywords,cast,director,vote_average,vote_count,popularity,release_year,runtime,original_language,tags
1452,superman returns,superman returns to discover his 5year absence has allowed lex luthor to walk free and that those he was closest too felt abandoned and have moved on luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever as well as ridding himself of the man of steel,,"['adventure', 'fantasy', 'action', 'sciencefiction']","['savingtheworld', 'dccomics', 'invulnerability', 'sequel', 'superhero', 'basedoncomicbook', 'kryptonite', 'superpowers', 'superhumanstrength', 'lexluthor']","['brandonrouth', 'kevinspacey', 'katebosworth', 'jamesmarsden', 'parkerposey']",['bryansinger'],5.4,1400,57.925623,2006,154.0,en,superman returns discover 5year absence allowed lex luthor walk free closest felt abandoned moved luthor plots ultimate revenge could see millions killed change face planet forever well ridding man steel adventure fantasy action sciencefiction savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor brandonrouth kevinspacey katebosworth jamesmarsden parkerposey bryansinger
10764,quantum of solace,quantum of solace continues the adventures of james bond after casino royale betrayed by vesper the woman he loved 007 fights the urge to make his latest mission personal pursuing his determination to uncover the truth bond and m interrogate mr white who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined,for love for hate for justice for revenge,"['adventure', 'action', 'thriller', 'crime']","['killing', 'undercover', 'secretagent', 'britishsecretservice']","['danielcraig', 'olgakurylenko', 'mathieuamalric', 'judidench', 'giancarlogiannini']",['marcforster'],6.1,2965,107.928811,2008,106.0,en,quantum solace continues adventures james bond casino royale betrayed vesper woman loved 007 fights urge make latest mission personal pursuing determination uncover truth bond interrogate mr white reveals organization blackmailed vesper far complex dangerous anyone imagined love hate justice revenge adventure action thriller crime killing undercover secretagent britishsecretservice danielcraig olgakurylenko mathieuamalric judidench giancarlogiannini marcforster
58,pirates of the caribbean dead mans chest,captain jack sparrow works his way out of a blood debt with the ghostly davey jones he also attempts to avoid eternal damnation,jack is back,"['adventure', 'fantasy', 'action']","['witch', 'fortuneteller', 'bondage', 'exoticisland', 'monster', 'captain', 'cardgame', 'eastindiatradingcompany', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","['johnnydepp', 'orlandobloom', 'keiraknightley', 'stellanskarsgård', 'billnighy']",['goreverbinski'],7.0,5246,145.847379,2006,151.0,en,captain jack sparrow works way blood debt ghostly davey jones also attempts avoid eternal damnation jack back adventure fantasy action witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler johnnydepp orlandobloom keiraknightley stellanskarsgård billnighy goreverbinski
57201,the lone ranger,the texas rangers chase down a gang of outlaws led by butch cavendish but the gang ambushes the rangers seemingly killing them all one survivor is found however by an american indian named tonto who nurses him back to health the ranger donning a mask and riding a white stallion named silver teams up with tonto to bring the unscrupulous gang and others of that ilk to justice,never take off the mask,"['action', 'adventure', 'western']","['texas', 'horse', 'survivor', 'texasranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'loneranger', 'comanche', 'theloneranger', 'tonto']","['johnnydepp', 'armiehammer', 'williamfichtner', 'helenabonhamcarter', 'jamesbadgedale']",['goreverbinski'],5.9,2311,49.046956,2013,149.0,en,texas rangers chase gang outlaws led butch cavendish gang ambushes rangers seemingly killing one survivor found however american indian named tonto nurses back health ranger donning mask riding white stallion named silver teams tonto bring unscrupulous gang others ilk justice never take mask action adventure western texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto johnnydepp armiehammer williamfichtner helenabonhamcarter jamesbadgedale goreverbinski
49521,man of steel,a young boy learns that he has extraordinary powers and is not of this earth as a young man he journeys to discover where he came from and what he was sent here to do but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind,you will believe that a man can fly,"['action', 'adventure', 'fantasy', 'sciencefiction']","['savingtheworld', 'dccomics', 'superhero', 'basedoncomicbook', 'superhuman', 'alieninvasion', 'reboot', 'superpowers', 'dcextendeduniverse']","['henrycavill', 'amyadams', 'michaelshannon', 'kevincostner', 'dianelane']",['zacksnyder'],6.5,6359,99.398009,2013,143.0,en,young boy learns extraordinary powers earth young man journeys discover came sent hero must emerge save world annihilation become symbol hope mankind believe man fly action adventure fantasy sciencefiction savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse henrycavill amyadams michaelshannon kevincostner dianelane zacksnyder
2454,the chronicles of narnia prince caspian,one year after their incredible adventures in the lion the witch and the wardrobe peter edmund lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz now with the help of a colorful cast of new characters including trufflehunter the badger and nikabrik the dwarf the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir,hope has a new face,"['adventure', 'family', 'fantasy']","['basedonnovel', 'fictionalplace', 'brothersisterrelationship', 'lion', 'humanbeing', 'wretch', 'leapintime', 'matteroflifeanddeath', 'faith', 'uncle', 'narnia', 'fantasyworld']","['benbarnes', 'williammoseley', 'annapopplewell', 'skandarkeynes', 'georgiehenley']",['andrewadamson'],6.3,1630,53.978602,2008,150.0,en,one year incredible adventures lion witch wardrobe peter edmund lucy susan pevensie return narnia aid young prince whose life threatened evil king miraz help colorful cast new characters including trufflehunter badger nikabrik dwarf pevensie clan embarks incredible quest ensure narnia returned rightful heir hope new face adventure family fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld benbarnes williammoseley annapopplewell skandarkeynes georgiehenley andrewadamson
24428,the avengers,when an unexpected enemy emerges and threatens global safety and security nick fury director of the international peacekeeping agency known as shield finds himself in need of a team to pull the world back from the brink of disaster spanning the globe a daring recruitment effort begins,some assembly required,"['sciencefiction', 'action', 'adventure']","['newyork', 'shield', 'marvelcomic', 'superhero', 'basedoncomicbook', 'alieninvasion', 'superheroteam', 'aftercreditsstinger', 'duringcreditsstinger', 'marvelcinematicuniverse']","['robertdowneyjr.', 'chrisevans', 'markruffalo', 'chrishemsworth', 'scarlettjohansson']",['josswhedon'],7.4,11776,144.448633,2012,143.0,en,unexpected enemy emerges threatens global safety security nick fury director international peacekeeping agency known shield finds need team pull world back brink disaster spanning globe daring recruitment effort begins assembly required sciencefiction action adventure newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam marvelcinematicuniverse robertdowneyjr. chrisevans markruffalo chrishemsworth scarlettjohansson josswhedon
1865,pirates of the caribbean on stranger tides,captain jack sparrow crosses paths with a woman from his past and hes not sure if its love or if shes a ruthless con artist whos using him to find the fabled fountain of youth when she forces him aboard the queen annes revenge the ship of the formidable pirate blackbeard jack finds himself on an unexpected adventure in which he doesnt know who to fear more blackbeard or the woman from his past,live forever or die trying,"['adventure', 'action', 'fantasy']","['sea', 'captain', 'mutiny', 'sword', 'primeminister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']","['johnnydepp', 'penélopecruz', 'ianmcshane', 'kevinmcnally', 'geoffreyrush']",['robmarshall'],6.4,4948,135.413856,2011,136.0,en,captain jack sparrow crosses paths woman past hes sure love shes ruthless con artist whos using find fabled fountain youth forces aboard queen annes revenge ship formidable pirate blackbeard jack finds unexpected adventure doesnt know fear blackbeard woman past live forever die trying adventure action fantasy sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler 3d johnnydepp penélopecruz ianmcshane kevinmcnally geoffreyrush robmarshall
41154,men in black 3,agents j will smith and k tommy lee jones are backin time j has seen some inexplicable things in his 15 years with the men in black but nothing not even aliens perplexes him as much as his wry reticent partner but when ks life and the fate of the planet are put at stake agent j will have to travel back in time to put things right j discovers that there are secrets to the universe that k never told him secrets that will reveal themselves as he teams up with the young agent k josh brolin to save his partner the agency and the future of humankind,they are back in time,"['action', 'comedy', 'sciencefiction']","['timetravel', 'timemachine', 'alien', 'fictionalgovernmentagency', 'seeingthefuture', 'changinghistory']","['willsmith', 'tommyleejones', 'joshbrolin', 'michaelstuhlbarg', 'emmathompson']",['barrysonnenfeld'],6.2,4160,52.035179,2012,106.0,en,agents j smith k tommy lee jones backin time j seen inexplicable things 15 years men black nothing even aliens perplexes much wry reticent partner ks life fate planet put stake agent j travel back time put things right j discovers secrets universe k never told secrets reveal teams young agent k josh brolin save partner agency future humankind back time action comedy sciencefiction timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory willsmith tommyleejones joshbrolin michaelstuhlbarg emmathompson barrysonnenfeld
122917,the hobbit the battle of the five armies,immediately after the events of the desolation of smaug bilbo and the dwarves try to defend erebors mountain of treasure from others who claim it the men of the ruined laketown and the elves of mirkwood meanwhile an army of orcs led by azog the defiler is marching on erebor fueled by the rise of the dark lord sauron dwarves elves and men must unite and the hope for middleearth falls into bilbos hands,witness the defining chapter of the middleearth saga,"['action', 'adventure', 'fantasy']","['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth(tolkien)', 'hobbit', 'dragon', 'battle', 'unlikelyfriendship', 'epicbattle', 'swordandsorcery']","['martinfreeman', 'ianmckellen', 'richardarmitage', 'kenstott', 'grahammctavish']",['peterjackson'],7.1,4760,120.965743,2014,144.0,en,immediately events desolation smaug bilbo dwarves try defend erebors mountain treasure others claim men ruined laketown elves mirkwood meanwhile army orcs led azog defiler marching erebor fueled rise dark lord sauron dwarves elves men must unite hope middleearth falls bilbos hands witness defining chapter middleearth saga action adventure fantasy corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery martinfreeman ianmckellen richardarmitage kenstott grahammctavish peterjackson
1930,the amazing spiderman,peter parker is an outcast high schooler abandoned by his parents as a boy leaving him to be raised by his uncle ben and aunt may like most teenagers peter is trying to figure out who he is and how he got to be the person he is today as peter discovers a mysterious briefcase that belonged to his father he begins a quest to understand his parents disappearance leading him directly to oscorp and the lab of dr curt connors his fathers former partner as spiderman is set on a collision course with connors alter ego the lizard peter will make lifealtering choices to use his powers and shape his destiny to become a hero,the untold story begins,"['action', 'adventure', 'fantasy']","['lossoffather', 'vigilante', 'serum', 'marvelcomic', 'scientificexperiment', 'spiderbite', 'maskedvigilante', 'reboot', 'superpowers', 'geneticengineering', 'socialoutcast', 'duringcreditsstinger']","['andrewgarfield', 'emmastone', 'rhysifans', 'denisleary', 'campbellscott']",['marcwebb'],6.5,6586,89.866276,2012,136.0,en,peter parker outcast high schooler abandoned parents boy leaving raised uncle ben aunt may like teenagers peter trying figure got person today peter discovers mysterious briefcase belonged father begins quest understand parents disappearance leading directly oscorp lab dr curt connors fathers former partner spiderman set collision course connors alter ego lizard peter make lifealtering choices use powers shape destiny become hero untold story begins action adventure fantasy lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast andrewgarfield emmastone rhysifans denisleary campbellscott marcwebb
20662,robin hood,when soldier robin happens upon the dying robert of loxley he promises to return the mans sword to his family in nottingham there he assumes roberts identity romances his widow marion and draws the ire of the towns sheriff and king johns henchman godfrey,rise and rise again until lambs become lions,"['action', 'adventure']","['robinhood', 'archer', 'knight', 'sherwoodforest', 'bowandarrow', 'middleages', 'medieval', 'kingofengland']","['russellcrowe', 'cateblanchett', 'maxvonsydow', 'williamhurt', 'markstrong']",['ridleyscott'],6.2,1398,37.668301,2010,140.0,en,soldier robin happens upon dying robert loxley promises return mans sword family nottingham assumes roberts identity romances widow marion draws ire towns sheriff king johns henchman godfrey rise rise lambs become lions action adventure robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland russellcrowe cateblanchett maxvonsydow williamhurt markstrong ridleyscott
57158,the hobbit the desolation of smaug,the dwarves bilbo and gandalf have successfully escaped the misty mountains and bilbo has gained the one ring they all continue their journey to get their gold back from the dragon smaug,beyond darkness beyond desolation lies the greatest danger of all,"['adventure', 'fantasy']","['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'swordandsorcery']","['martinfreeman', 'ianmckellen', 'richardarmitage', 'kenstott', 'grahammctavish']",['peterjackson'],7.6,4524,94.370564,2013,161.0,en,dwarves bilbo gandalf successfully escaped misty mountains bilbo gained one ring continue journey get gold back dragon smaug beyond darkness beyond desolation lies greatest danger adventure fantasy elves dwarves orcs hobbit dragon wizard swordandsorcery martinfreeman ianmckellen richardarmitage kenstott grahammctavish peterjackson
2268,the golden compass,after overhearing a shocking secret precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north unaware that its part of her destiny,there are worlds beyond our own the compass will show the way,"['adventure', 'fantasy']","['england', 'compass', 'experiment', 'lordship', 'uncle', 'polarbear', 'orphan', 'animal', 'basedonyoungadultnovel']","['dakotabluerichards', 'nicolekidman', 'danielcraig', 'samelliott', 'evagreen']",['chrisweitz'],5.8,1303,42.990906,2007,113.0,en,overhearing shocking secret precocious orphan lyra belacqua trades carefree existence roaming halls jordan college otherworldly adventure far north unaware part destiny worlds beyond compass show way adventure fantasy england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel dakotabluerichards nicolekidman danielcraig samelliott evagreen chrisweitz
254,king kong,in 1933 new york an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island where they encounter kong a giant ape who is immediately smitten with the leading lady,the eighth wonder of the world,"['adventure', 'drama', 'action']","['filmbusiness', 'screenplay', 'showbusiness', 'filmmaking', 'filmproducer', 'exoticisland', 'monster', 'indigenous', 'ship', 'dinosaur']","['naomiwatts', 'jackblack', 'adrienbrody', 'thomaskretschmann', 'colinhanks']",['peterjackson'],6.6,2337,61.22601,2005,187.0,en,1933 new york overly ambitious movie producer coerces cast hired ship crew travel mysterious skull island encounter kong giant ape immediately smitten leading lady eighth wonder world adventure drama action filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur naomiwatts jackblack adrienbrody thomaskretschmann colinhanks peterjackson
597,titanic,84 years later a 101yearold woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert brock lovett lewis bodine bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912 on a ship called titanic when young rose boards the departing ship with the upperclass passengers and her mother ruth dewitt bukater and her fianc caledon hockley meanwhile a drifter and artist named jack dawson and his best friend fabrizio de rossi win thirdclass tickets to the ship in a game and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th 1912 at 220 in the morning,nothing on earth could come between them,"['drama', 'romance', 'thriller']","['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'oceanliner', 'epic', 'richwoman-poorman', 'love', 'disaster', 'tragiclove', 'classdifferences', 'imax', 'starcrossedlovers', 'steerage', 'salvage', 'richsnob', '3d', '1910s']","['katewinslet', 'leonardodicaprio', 'francesfisher', 'billyzane', 'kathybates']",['jamescameron'],7.5,7562,100.025899,1997,194.0,en,84 years later 101yearold woman named rose dewitt bukater tells story granddaughter lizzy calvert brock lovett lewis bodine bobby buell anatoly mikailavich keldysh life set april 10th 1912 ship called titanic young rose boards departing ship upperclass passengers mother ruth dewitt bukater fianc caledon hockley meanwhile drifter artist named jack dawson best friend fabrizio de rossi win thirdclass tickets ship game explains whole story departure death titanic first last voyage april 15th 1912 220 morning nothing earth could come drama romance thriller shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s katewinslet leonardodicaprio francesfisher billyzane kathybates jamescameron
271110,captain america civil war,following the events of age of ultron the collective governments of the world pass an act designed to regulate all superhuman activity this polarizes opinion amongst the avengers causing two factions to side with iron man or captain america which causes an epic battle between former allies,divided we fall,"['adventure', 'action', 'sciencefiction']","['civilwar', 'war', 'marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvelcinematicuniverse', '3d']","['chrisevans', 'robertdowneyjr.', 'scarlettjohansson', 'sebastianstan', 'anthonymackie']","['anthonyrusso', 'joerusso']",7.1,7241,198.372395,2016,147.0,en,following events age ultron collective governments world pass act designed regulate superhuman activity polarizes opinion amongst avengers causing two factions side iron man captain america causes epic battle former allies divided fall adventure action sciencefiction civilwar war marvelcomic sequel superhero basedoncomicbook imax marvelcinematicuniverse 3d chrisevans robertdowneyjr. scarlettjohansson sebastianstan anthonymackie anthonyrusso joerusso
44833,battleship,when mankind beams a radio signal into space a reply comes from planet g in the form of several alien crafts that splash down in the waters off hawaii lieutenant alex hopper is a weapons officer assigned to the uss john paul jones part of an international naval coalition which becomes the worlds last hope for survival as they engage the hostile alien force of unimaginable strength while taking on the invaders hopper must also try to live up to the potential his brother and his fiances father admiral shane expect of him,the battle for earth begins at sea,"['thriller', 'action', 'adventure', 'sciencefiction']","['fight', 'u.s.navy', 'mindreading', 'hongkong', 'soccer', 'scientist', 'fictionalwar', 'naval', 'armada', 'battleship', 'navalcombat', 'jdsmyoko', 'lostcommunication', 'taser', 'buoy', 'communicationsexpert', 'jointchiefsofstaff', 'crashlanding', 'jetfighterpilot', 'navylieutenant', 'permissiontomarry', 'ussjohnpauljones', 'basedonboardgame', 'aftercreditsstinger', 'mightymo', 'ussmissouri']","['taylorkitsch', 'alexanderskarsgård', 'rihanna', 'brooklyndecker', 'tadanobuasano']",['peterberg'],5.5,2114,64.928382,2012,131.0,en,mankind beams radio signal space reply comes planet g form several alien crafts splash waters hawaii lieutenant alex hopper weapons officer assigned uss john paul jones part international naval coalition becomes worlds last hope survival engage hostile alien force unimaginable strength taking invaders hopper must also try live potential brother fiances father admiral shane expect battle earth begins sea thriller action adventure sciencefiction fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame mightymo ussmissouri taylorkitsch alexanderskarsgård rihanna brooklyndecker tadanobuasano peterberg
